1.9	15	1	1	60	46	31	94	94	160
1.9	14	1.4	1.090909091	50	22	42	91	93	135
1.9	14	1.166666667	0.903225806	60	36	43	89	99	180
1.9	13	1.166666667	0.714285714	60	18	38	88	108	165
1.9	13	1.166666667	2.642857143	60	37	35	84	185	160
1.538461538	16	1.2	1	60	228	34	99	48	151
1.538461538	13	1.4	1.45	50	191	36	100	61	148
1.538461538	13	1.4	1.35	48	231	31	100	57	153
1.538461538	13	1.4	1.4	48	234	29	100	90	186
3.75	9	0.3	1	35	338	47	98	88	122
3.75	8	0.285714286	1.846153846	35	378	42	98	102	109
3.75	8	0.285714286	1.538461538	35	296	43	99	56	110
3.75	8	0.285714286	2.6	35	356	43	98	58	117
3.75	8	0.285714286	2.1	35	289	44	99	57	112
3.75	8	0.222222222	2	35	276	49	98	70	125
3.4	10	0.3	2.416666667	60	205	29	100	117	96
3.4	10	0.3	3.444444444	40	103	26	99	109	74
4.3	7	0.375	5.75	30	243	47	94	99	92
2.114285714	15	0.857142857	1	35	120	47	99	65	130
2.114285714	15	0.857142857	1	35	205	44	99	94	169
2.114285714	15	0.857142857	1	35	154	51	96	81	167
0.466666667	12	0.571428571	1.055555556	30	62	39	99	120	110
1.016666667	18	2	2.8	90	93	30	89	165	92
